num_robot,opti_t,opti_w_a,opti_w_omega,opti_w_penalty0,opti_w_formation,opti_w_topo,opti_w_sfc,seed,trial,trial_success,solve_success,success_strict,success_any_solution,success_feasible,final_infeasibility,n_solutions,time_topo_s,time_filter_s,time_coarse_s,time_to_s,time_total_s,outer_iters,inner_iters,tf_s,distance_m,timed_out
4,0,1,1,10000,1,0,1,42,0,1,0,0,1,1,9.15624e-08,4,0.579373,0.00120551,1.823,8.695,8.62055,1,1,349.753,114.741,0
4,0,1,1,10000,1,0,1,42,1,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,2,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,3,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,4,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,5,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,6,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,7,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,8,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,9,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,10,1,0,0,1,1,1.52935e-08,4,0.566812,0.00808365,2.622,8.2408,191.445,1,5,128.904,71.8855,0
4,0,1,1,10000,1,0,1,42,11,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,12,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,13,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,14,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,15,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,16,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,17,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,18,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,19,1,0,0,1,1,1.49733e-07,4,1.02876,0.00116064,2.764,7.9922,41.6343,1,5,164.435,99.9952,0
4,0,1,1,10000,1,0.5,1,42,0,1,0,0,1,1,7.74969e-07,4,1.06754,0.00147201,1.896,8.222,10.8608,1,1,208.722,100.646,0
4,0,1,1,10000,1,0.5,1,42,1,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0.5,1,42,2,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0.5,1,42,3,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0.5,1,42,4,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0.5,1,42,5,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0.5,1,42,6,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0.5,1,42,7,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0.5,1,42,8,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0.5,1,42,9,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0.5,1,42,10,1,0,0,1,0,nan,4,0.552437,0.00152318,2.153,-nan,5.07053,1,0,43.0252,69.2185,0
4,0,1,1,10000,1,0.5,1,42,11,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0.5,1,42,12,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
