num_robot,opti_t,opti_w_a,opti_w_omega,opti_w_penalty0,opti_w_formation,opti_w_topo,opti_w_sfc,seed,trial,trial_success,solve_success,success_strict,success_any_solution,success_feasible,final_infeasibility,n_solutions,time_topo_s,time_filter_s,time_coarse_s,time_to_s,time_total_s,outer_iters,inner_iters,tf_s,distance_m,config_timed_out
4,1,1,1,10000,1,0,1,42,0,0,0,0,1,0,nan,4,1.89856,0.060757,1.78,0,142.776,1,0,34.3057,62.6054,0
4,1,1,1,10000,1,0,1,42,1,0,0,0,1,0,nan,4,-1.20112,0.0419856,2.905,0,103.823,1,0,34.3057,62.6064,0
4,1,1,1,10000,1,0,1,42,2,1,0,0,1,1,1.32701e-06,4,1.09775,0.0453942,1.857,8.7062,165.983,1,5,35.9596,61.147,0
4,1,1,1,10000,1,0,1,42,3,0,0,0,1,0,nan,4,1.12136,0.0486079,2.237,0,117.265,1,0,34.3057,62.6079,0
4,1,1,1,10000,1,0,1,42,4,0,0,0,1,0,nan,4,-1.25798,0.0445715,2.674,0,164.542,1,0,34.3057,62.6072,0
4,1,1,1,10000,1,0,1,42,5,1,0,0,1,1,2.31097e-06,4,1.36778,0.0517286,2.578,8.24,167.763,1,3,37.0464,61.6456,0
4,1,1,1,10000,1,0,1,42,6,0,0,0,1,0,nan,4,1.091,0.0397567,2.405,0,124.519,1,0,34.3057,62.6088,0
4,1,1,1,10000,1,0,1,42,7,0,0,0,1,0,nan,4,1.32559,0.0396992,2.177,0,108.873,1,0,34.3057,62.6066,0
4,1,1,1,10000,1,0,1,42,8,0,0,0,1,0,nan,4,1.02191,0.0405736,1.699,0,140.743,1,0,34.3057,62.6065,0
4,1,1,1,10000,1,0,1,42,9,1,0,0,1,1,3.19978e-06,4,1.11425,0.046137,2.067,7.72833,242.297,1,3,39.441,62.855,0
4,1,1,1,10000,1,0.5,1,1042,0,0,0,0,1,0,nan,4,1.46045,0.046522,1.925,0,105.281,1,0,34.3057,62.6054,0
4,1,1,1,10000,1,0.5,1,1042,1,1,1,1,1,1,1.25971e-07,4,1.2106,0.0419099,1.84,8.062,263.631,1,15,92.0634,69.4798,0
