num_robot,opti_t,opti_w_a,opti_w_omega,opti_w_penalty0,opti_w_formation,opti_w_topo,opti_w_sfc,analytical_lift_enabled,failure_pruning_enabled,seed,trial,trial_success,solve_success,success_strict,success_any_solution,success_feasible,final_infeasibility,n_solutions,time_topo_s,time_filter_s,time_coarse_s,time_to_s,time_total_s,outer_iters,inner_iters,tf_s,distance_m,outer_candidates_considered,outer_candidates_pruned,outer_ocp_attempts,uncrossable_failure
4,1,1,1,10000,1,1,1,1,1,3277,0,1,0,0,1,1,8.97726e-06,4,0.329261,0.00118278,1.103,5.929,7.65662,1,1,137.91,81.636,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,1,0,0,0,1,0,2.52434e+11,4,0.318856,0.00081245,1.166,0,7.77487,1,0,35.5574,1573.53,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,2,0,0,0,1,0,nan,4,0.316431,0.000796909,1.174,0,2.04454,1,0,35.5029,62.6033,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,3,0,0,0,1,0,2.52364e+11,4,0.335334,0.000783936,1.203,0,7.20354,1,0,35.5576,1571.27,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,4,0,0,0,1,0,nan,4,0.318121,0.000741207,1.21,0,2.41287,1,0,35.5029,62.6033,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,5,0,0,0,1,0,nan,4,0.321004,0.000743266,1.202,0,2.54796,1,0,35.5029,62.6039,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,6,0,0,0,1,0,nan,4,0.316315,0.000788511,1.216,0,2.72692,1,0,35.5029,62.6021,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,7,0,0,0,1,0,nan,4,0.316641,0.000727213,1.194,0,2.89227,1,0,35.5029,62.6009,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,8,0,0,0,1,0,nan,4,0.326646,0.000766055,1.187,0,3.03732,1,0,35.5029,62.5998,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,9,0,0,0,1,0,nan,4,0.320908,0.000786321,1.2,0,3.19736,1,0,35.5029,62.6026,1,0,1,0
