num_robot,opti_t,opti_w_a,opti_w_omega,opti_w_penalty0,opti_w_formation,opti_w_topo,opti_w_sfc,analytical_lift_enabled,failure_pruning_enabled,seed,trial,trial_success,solve_success,success_strict,success_any_solution,success_feasible,final_infeasibility,n_solutions,time_topo_s,time_filter_s,time_coarse_s,time_to_s,time_total_s,outer_iters,inner_iters,tf_s,distance_m,outer_candidates_considered,outer_candidates_pruned,outer_ocp_attempts,uncrossable_failure,config_timed_out
4,1,1,1,10000,1,1,1,0,0,277,0,1,0,0,1,1,3.04287e-06,4,0.438947,0.00138602,1.389,6.1445,26.8081,1,4,43.9892,69.0963,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,1,0,0,0,1,0,2.52452e+11,4,0.335639,0.000902093,1.318,0,8.19232,1,0,35.5517,1573.18,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,2,0,0,0,1,0,nan,4,0.324631,0.000785992,1.379,0,1.88743,1,0,35.5029,62.6039,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,3,1,0,0,1,1,8.46022e-06,4,0.339536,0.000853904,1.253,5.73833,36.5784,1,6,147.46,85.7034,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,4,0,0,0,1,0,nan,4,0.329522,0.000772778,1.387,0,2.7938,1,0,35.5029,62.6014,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,5,0,0,0,1,0,nan,4,0.374466,0.000973602,1.638,0,3.23839,1,0,35.5029,62.6052,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,6,0,0,0,1,0,2.52356e+11,4,0.370266,0.000942025,1.27,0,9.18747,1,0,35.5574,1561.37,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,7,0,0,0,1,0,nan,4,0.334564,0.000823845,1.342,0,3.06948,1,0,35.5029,62.6041,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,8,1,0,0,1,1,6.39311e-05,4,0.334636,0.000874632,1.276,6.8735,16.622,1,2,170.003,87.8216,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,9,1,0,0,1,1,6.59157e-05,4,0.447032,0.000979288,1.529,7.1605,32.0945,1,4,216.394,94.6745,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,10,0,0,0,1,0,nan,4,0.378379,0.000798245,1.568,0,3.89227,1,0,35.5029,62.603,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,11,1,0,0,1,1,7.1248e-05,4,0.33318,0.000757335,1.301,6.87,10.9119,1,1,141.947,82.9871,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,12,0,0,0,1,0,nan,4,0.34004,0.000765676,1.34,0,3.9548,1,0,35.5029,62.6041,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,13,1,0,0,1,1,7.98853e-05,4,0.341669,0.000786682,1.321,6.47144,61.5173,1,9,222.544,97.6343,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,14,1,0,0,1,1,6.48287e-06,4,0.35695,0.000781235,1.409,6.729,10.6209,1,1,140.566,81.4024,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,15,1,0,0,1,1,3.2818e-06,4,0.408372,0.000935997,1.444,6.351,11.0643,1,1,137.83,82.1788,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,16,0,0,0,1,0,nan,4,0.352694,0.00104779,1.355,0,4.64028,1,0,35.5029,62.6052,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,17,0,0,0,1,0,nan,4,0.343338,0.000784429,1.301,0,4.67289,1,0,35.5029,62.6025,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,18,0,0,0,1,0,nan,4,0.346052,0.000936289,1.291,0,4.44623,1,0,35.5029,62.6051,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,19,1,0,0,1,1,6.33343e-05,4,0.337521,0.000794543,1.283,6.338,17.7925,1,2,147.907,85.4103,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,20,1,0,0,1,1,7.84911e-05,4,0.348263,0.000790499,1.317,6.238,11.0524,1,1,138.84,82.6519,1,0,1,0,0
